field,method,samples,ms,worst,worst_near
sphere,exact,17,0.159660,0.25000000,0.25000000
sphere,swept,17,0.567762,0.19964405,0.07671017
sphere,marched,17,2.085556,0.19584797,0.07671017
sphere,exact,33,1.231123,0.12500000,0.12500000
sphere,swept,33,4.131792,0.10705821,0.03565963
sphere,marched,33,14.261921,0.10705821,0.03565963
sphere,exact,65,9.714468,0.06250000,0.06250000
sphere,swept,65,30.068046,0.09270862,0.01972628
sphere,marched,65,125.977633,0.06721673,0.01972628
torus,exact,17,0.151051,0.24289322,0.24289322
torus,swept,17,0.563261,0.23060492,0.12981421
torus,marched,17,1.673265,0.22984248,0.12981421
torus,exact,33,1.133553,0.12355825,0.12355825
torus,swept,33,4.124381,0.12191294,0.05201186
torus,marched,33,13.575770,0.11525727,0.05201186
torus,exact,65,9.057536,0.06232590,0.06232590
torus,swept,65,30.207697,0.10534834,0.01955903
torus,marched,65,119.137574,0.05794094,0.01955903
box_exact,exact,17,0.146601,0.43301270,0.43301270
box_exact,swept,17,0.274411,0.48228292,0.38291296
box_exact,marched,17,1.299854,0.48228292,0.38291296
box_exact,exact,33,1.090533,0.21650635,0.21650635
box_exact,swept,33,2.403987,0.27647708,0.19145648
box_exact,marched,33,9.928039,0.27646172,0.19145648
box_exact,exact,65,8.590294,0.10825318,0.10825318
box_exact,swept,65,20.082158,0.15862236,0.09572824
box_exact,marched,65,83.026470,0.15836731,0.09572824
thin_plate,exact,17,0.145770,0.35355339,0.35355339
thin_plate,swept,17,0.421941,0.40731777,0.28440679
thin_plate,marched,17,1.487324,0.40025082,0.28440679
thin_plate,exact,33,1.088343,0.17721200,0.17677670
thin_plate,swept,33,3.149679,0.24421777,0.14468411
thin_plate,marched,33,11.432533,0.23861547,0.14468411
thin_plate,exact,65,8.646755,0.08926786,0.08838835
thin_plate,swept,65,25.492094,0.19222527,0.07458483
thin_plate,marched,65,94.465773,0.14179622,0.07458483
